Directorio,¿Juega videojuegos?,¿Con qué frecuencia?
3086953,2,0
3086953,2,0
3086954,2,0
3086955,2,0
3086955,2,0
3086955,2,0
3086956,1,4
3086956,2,0
3086958,2,0
3086958,2,0
3086958,2,0
3086960,2,0
3086960,2,0
3086961,2,0
3086962,2,0
3086962,2,0
3086962,2,0
3086963,2,0
3086963,2,0
3086964,2,0
3086965,1,3
3086965,1,3
3086965,1,4
3086965,2,0
3086965,2,0
3086966,2,0
3086967,2,0
3086967,2,0
3086968,1,2
3086968,2,0
3086968,2,0
3086968,2,0
3086969,1,4
3086969,2,0
3086970,2,0
3086970,2,0
3086971,2,0
3086971,2,0
3086971,2,0
3086972,2,0
3086972,2,0
3086974,2,0
3086974,2,0
3086975,1,2
3086975,2,0
3086975,2,0
3086976,2,0
3086976,2,0
3086977,2,0
3086977,2,0
3086977,2,0
3086977,2,0
3086979,1,1
3086979,2,0
3086979,2,0
3086980,2,0
3086980,2,0
3086981,2,0
3086981,2,0
3086982,2,0
3086982,2,0
3086982,2,0
3086982,2,0
3086984,2,0
3086985,2,0
3086985,2,0
3086987,2,0
3086987,2,0
3086987,2,0
3086987,2,0
3086987,2,0
3086987,2,0
3086988,1,2
3086988,2,0
3086989,2,0
3086989,2,0
3086989,2,0
3086991,2,0
3086991,2,0
3086991,2,0
3086991,2,0
3086992,2,0
3086992,2,0
3086993,1,2
3086993,1,4
3086994,2,0
3086994,2,0
3086994,2,0
3086995,1,4
3086996,2,0
3086996,2,0
3086996,2,0
3086997,2,0
3086997,2,0
3086997,2,0
3086998,2,0
3086998,2,0
3086999,2,0
3087001,2,0
3087001,2,0
3087002,2,0
3087003,1,1
3087003,1,1
3087003,1,1
3087003,2,0
3087003,2,0
3087004,2,0
3087008,2,0
3087009,2,0
3087009,2,0
3087011,1,3
3087011,2,0
3087011,2,0
3087012,2,0
3087012,2,0
3087012,2,0
3087013,2,0
3087014,2,0
3087014,2,0
3087014,2,0
3087014,2,0
3087016,2,0
3087016,2,0
3087017,2,0
3087017,2,0
3087018,2,0
3087018,2,0
3087019,2,0
3087020,1,3
3087020,2,0
3087020,2,0
3087021,2,0
3087021,2,0
3087021,2,0
3087021,2,0
3087022,2,0
3087022,2,0
3087022,2,0
3087023,2,0
3087024,2,0
3087025,1,2
3087025,2,0
3087025,2,0
3087027,2,0
3087027,2,0
3087027,2,0
3087027,2,0
3087028,2,0
3087028,2,0
3087028,2,0
3087028,2,0
3087029,1,1
3087029,2,0
3087029,2,0
3087031,2,0
3087031,2,0
3087031,2,0
3087032,2,0
3087032,2,0
3087032,2,0
3087033,2,0
3087033,2,0
3087034,1,1
3087034,2,0
3087034,2,0
3087034,2,0
3087035,2,0
3087037,2,0
3087037,2,0
3087037,2,0
3087037,2,0
3087038,2,0
3087038,2,0
3087040,2,0
3087042,2,0
3087043,2,0
3087044,2,0
3087044,2,0
3087044,2,0
3087045,2,0
3087045,2,0
3087046,2,0
3087046,2,0
3087046,2,0
3087046,2,0
3087047,1,2
3087048,2,0
3087048,2,0
3087048,2,0
3087049,2,0
3087050,2,0
3087050,2,0
3087050,2,0
3087050,2,0
3087051,2,0
3087052,2,0
3087053,1,1
3087053,1,4
3087054,2,0
3087055,2,0
3087056,1,1
3087056,1,2
3087056,2,0
3087056,2,0
3087057,2,0
3087057,2,0
3087058,2,0
3087058,2,0
3087058,2,0
3087058,2,0
3087060,2,0
3087062,1,2
3087062,1,2
3087062,2,0
3087062,2,0
3087064,2,0
3087064,2,0
3087064,2,0
3087066,1,3
3087066,2,0
3087067,2,0
3087067,2,0
3087068,2,0
3087068,2,0
3087071,2,0
3087073,2,0
3087073,2,0
3087073,2,0
3087074,2,0
3087074,2,0
3087075,2,0
3087075,2,0
3087076,2,0
3087076,2,0
3087076,2,0
3087077,1,3
3087077,1,3
3087077,2,0
3087078,2,0
3087078,2,0
3087080,2,0
3087080,2,0
3087082,2,0
3087083,1,4
3087083,2,0
3087083,2,0
3087084,2,0
3087084,2,0
3087084,2,0
3087084,2,0
3087084,2,0
3087084,2,0
3087085,1,4
3087085,2,0
3087087,1,2
3087087,2,0
3087087,2,0
3087088,1,2
3087088,1,4
3087088,2,0
3087089,2,0
3087089,2,0
3087089,2,0
3087091,2,0
3087091,2,0
3087091,2,0
3087092,1,2
3087092,1,2
3087092,1,2
3087092,2,0
3087093,2,0
3087094,1,2
3087094,1,2
3087094,2,0
3087094,2,0
3087096,1,2
3087096,1,3
3087096,2,0
3087098,2,0
3087098,2,0
3087100,1,3
3087100,2,0
3087101,1,4
